Age,Height,Weight,Sprint_40yd,Vertical_Jump,Bench_Press_Reps,Broad_Jump,BMI,Drafted,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DT,Pos_FB,Pos_FS,Pos_ILB,Pos_K,Pos_LS,Pos_OG,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR,PosType_backs_receivers,PosType_defensive_back,PosType_defensive_lineman,PosType_kicking_specialist,PosType_line_backer,PosType_offensive_lineman,PosType_other_special
21.0,1.905,94.80080533,4.46,95.25,14.0,304.8,26.12294083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22.0,1.8034,87.08973504,4.49,90.17,18.0,309.88,26.77828988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,1.9304,147.4175203,5.29,77.47,23.0,248.92,39.55983611,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22.0,1.8034,87.99691978,4.5,80.01,17.0,276.86,27.0572304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,1.9558,113.8516849,4.78,85.09,20.0,284.48,29.76395083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
20.0,1.8796,118.3876086,4.78,83.82,23.5,284.48,33.5100731,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21.0,1.8288,106.1406146,4.59,88.9,22.0,292.1,31.73577964,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0,1.8796,112.4909078,4.72,83.82,24.0,287.02,31.840989,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.0,1.8796,102.965468,4.57,85.09,25.0,288.28999999999996,29.14477622,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22.0,1.8034,85.72895793,4.5,90.17,14.0,304.8,26.3598791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,1.905,102.0582833,4.61,83.82,18.0,284.48,28.12278319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23.0,1.8796,97.06876718,4.57,95.25,17.0,297.18,27.47569212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21.0,1.8034,83.46099608,4.53,90.17,15.0,309.88,25.6625278,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,1.8034,98.42954429,4.5,90.17,25.0,292.1,30.26504638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22.0,1.9304,119.7483857,4.88,82.55,24.0,302.26,32.13475918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24.0,1.9558,99.7903214,4.87,72.39,18.0,269.24,26.08792503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
23.0,1.8288,89.81128926,4.53,96.52,14.0,302.26,26.853352,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,1.8288,85.72895793,4.37,93.98,14.0,287.02,25.63274509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,1.7526,87.54332741,4.47,86.36,13.0,317.5,28.50082522,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,1.9558,138.7992652,5.23,62.23,23.0,228.6,36.28593209,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
